ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
137,7,5,BTS,3,BigHit Entertainment,Gars,Groupe,No more dream,2013,Non,Non,4.75,8.5,6.63
138,7,6,TXT,4,BigHit Entertainment,Gars,Groupe,Run away,2019,Non,Non,8.0,10.0,9.0
139,7,7,Ive,4,Starship Entertainment,Fille,Groupe,Love dive,2022,Non,Non,4.0,5.0,4.5
140,7,8,Seventeen,3,Pledis Entertainment,Gars,Groupe,Very nice,2016,Non,Non,4.25,8.5,6.38
141,7,9,Mamamoo,2,RBW,Fille,Groupe,Hip,2019,Non,Non,6.5,10.0,8.25
142,7,10,Ateez,4,KQ Entertainment,Gars,Groupe,Work,2024,Non,Non,5.75,8.0,6.88
143,7,11,BTS,3,BigHit Entertainment,Gars,Groupe,Anpanman,2018,Non,Non,7.5,7.5,7.5
144,7,12,BlackPink,3,YG Entertainment,Fille,Groupe,As if it's your last,2017,Non,Non,6.0,8.25,7.13
145,7,13,Stray Kids,4,JYP Entertainment,Gars,Groupe,Domino,2021,Non,Non,7.25,6.5,6.88
146,7,14,BabyMonster,5,YG Entertainment,Fille,Groupe,Forever,2024,Non,Non,6.0,5.25,5.63
147,7,15,Enhypen,4,Belift Lab,Gars,Groupe,XO,2024,Non,Non,6.75,6.5,6.63
148,7,16,B.A.P,2,TS Entertainment,Gars,Groupe,One shot,2013,Non,Non,6.25,7.0,6.63
149,7,17,Itzy,4,JYP Entertainment,Fille,Groupe,Wannabe,2020,Non,Non,7.0,9.5,8.25
150,7,18,Treasure,4,YG Entertainment,Gars,Groupe,Darari,2022,Non,Non,3.5,7.5,5.5
151,7,19,Stray Kids,4,JYP Entertainment,Gars,Groupe,S-Class,2023,Non,Non,9.25,7.5,8.38
152,7,20,f(x),2,SM Entertainment,Fille,Groupe,Electric shock,2012,Non,Non,1.75,7.0,4.38
