Artiste,Generation,Compagnie,Sexe,Taille,Nombre_de_titres,MOYENNE_TOTALE
Weekly,4,Play M Entertainment,Fille,Groupe,1,5.7
Wendy,3,SM Entertainment,Fille,Solo,1,4.8
Winner,3,YG Entertainment,Gars,Groupe,1,5.6
Wonder Girls,2,JYP Entertainment,Fille,Groupe,2,4.7
Woodz,4,Play M Entertainment,Gars,Groupe,1,7.4
X1,4,CJ ENM,Gars,Groupe,1,7.2
XG,4,XGALX,Fille,Groupe,1,6.0
Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,5,8.18
Xikers,5,KQ Entertainment,Gars,Groupe,2,6.95
Yena,4,Waterbomb,Fille,Solo,2,5.85
Yena & Yuqi,4,/Null/,Fille,Duo,1,4.7
Yeonjun,4,BigHit Entertainment,Gars,Solo,1,4.6
Zerobaseone,5,WAKEONE,Gars,Groupe,3,6.04
f(x),2,SM Entertainment,Fille,Groupe,1,4.4
iKon,2,YG Entertainment,Gars,Groupe,2,6.15
