ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Note
210,10,12,BTS,3,BigHit Entertainment,Gars,Groupe,We are bulletproof,2013,Non,Non,8.0
211,10,13,Got7,3,JYP Entertainment,Gars,Groupe,Lullaby,2018,Non,Non,10.0
212,10,14,Everglow,4,Yuehua Entertainment,Fille,Groupe,Bon bon chocolat,2019,Non,Non,10.0
213,10,15,Jimin,3,BigHit Entertainment,Gars,Solo,Who,2024,Non,Non,8.0
214,10,16,Itzy,4,JYP Entertainment,Fille,Groupe,Dalla dalla,2019,Non,Non,7.0
215,10,17,Seventeen,3,Pledis Entertainment,Gars,Groupe,Cheers,2022,SVT Leaders,Non,10.0
216,10,18,Stray Kids,4,JYP Entertainment,Gars,Groupe,Circus,2022,Non,Non,6.0
217,10,19,BlackPink,3,YG Entertainment,Fille,Groupe,Playing with fire,2016,Non,Non,9.0
218,10,20,BTS,3,BigHit Entertainment,Gars,Groupe,DNA,2017,Non,Non,7.5
219,10,21,Aespa,4,SM Entertainment,Fille,Groupe,Girls,2022,Non,Non,7.5
220,10,22,Treasure,4,YG Entertainment,Gars,Groupe,I love you,2020,Non,Non,10.0
221,11,1,BTS,3,BigHit Entertainment,Gars,Groupe,Make it right,2019,Non,Non,9.0
222,11,2,Kiss of life,5,S2 Entertainment,Fille,Groupe,Midas touch,2024,Non,Non,7.0
223,11,3,J-Hope,3,BigHit Entertainment,Gars,Solo,Chicken noodle soup,2019,Non,Non,4.0
224,11,4,Riize,5,SM Entertainment,Gars,Groupe,Boom boom bass,2024,Non,Non,9.0
225,11,5,BlackPink,3,YG Entertainment,Fille,Groupe,Forever young,2018,Non,Non,8.0
226,11,6,TXT,4,BigHit Entertainment,Gars,Groupe,Can't you see me?,2020,Non,Non,7.0
227,11,7,BTS,3,BigHit Entertainment,Gars,Groupe,Dope,2015,Non,Non,8.5
228,11,8,Ive,4,Starship Entertainment,Fille,Groupe,Baddie,2023,Non,Non,8.5
229,11,9,Stray Kids,4,JYP Entertainment,Gars,Groupe,Levanter,2019,Non,Non,10.0
230,11,10,Ateez,4,KQ Entertainment,Gars,Groupe,Answer,2020,Non,Non,10.0
231,11,11,Wonder Girls,2,JYP Entertainment,Fille,Groupe,Be my baby,2011,Non,Non,6.0
232,11,12,Treasure,4,YG Entertainment,Gars,Groupe,King kong,2024,Non,Non,7.5
233,11,13,NCT 127,4,SM Entertainment,Gars,Groupe,Kick it,2020,Non,Non,10.0
234,11,14,Le Sserafim,4,Source Music,Fille,Groupe,Perfect night,2023,Non,Non,9.0
235,11,15,Stray Kids,4,JYP Entertainment,Gars,Groupe,Slash,2024,Non,Non,6.0
236,11,16,Wanna one,3,YMC Entertainment,Gars,Groupe,Boomerang,2018,Non,Non,10.0
237,11,17,Aespa,4,SM Entertainment,Fille,Groupe,Spicy,2023,Non,Non,7.0
238,11,18,Seventeen,3,Pledis Entertainment,Gars,Groupe,Clap,2017,Non,Non,10.0
239,11,19,BTS,3,BigHit Entertainment,Gars,Groupe,Go go,2018,Non,Non,7.0
240,11,20,BabyMonster,5,YG Entertainment,Fille,Groupe,Like that,2024,Non,Non,7.5
241,11,21,Stray Kids,4,JYP Entertainment,Gars,Groupe,Side Effects,2019,Non,Non,10.0
242,11,22,Psy,2,YG Entertainment,Gars,Solo,Gentleman,2013,Non,Non,8.0
243,12,1,BigBang,2,YG Entertainment,Gars,Groupe,Loser,2015,Non,Non,8.0
244,12,2,Twice,3,JYP Entertainment,Fille,Groupe,Likey,2017,Non,Non,8.0
245,12,3,Ateez,4,KQ Entertainment,Gars,Groupe,Horizon,2020,Non,Non,10.0
246,12,4,BTS,3,BigHit Entertainment,Gars,Groupe,Airplane,2018,Non,Non,6.0
247,12,5,Sunmi,2,Makeus Entertainment,Fille,Solo,Gashina,2017,Non,Non,10.0
248,12,6,TXT,4,BigHit Entertainment,Gars,Groupe,Puma,2020,Non,Non,6.5
249,12,7,Stray Kids,4,JYP Entertainment,Gars,Groupe,Victory song,2019,Non,Non,9.5
250,12,8,Everglow,4,Yuehua Entertainment,Fille,Groupe,Slay,2023,Non,Non,7.0
251,12,9,Eric Nam,3,CJeS Entertainment,Gars,Solo,Congratulations,2019,Non,Non,10.0
252,12,10,Le Sserafim,4,Source Music,Fille,Groupe,Unforgiven,2023,Non,Non,6.5
253,12,11,CIX,4,C9 Entertainment,Gars,Groupe,Movie star,2019,Non,Non,10.0
254,12,12,Nu'est,2,Pledis Entertainment,Gars,Groupe,Face,2012,Non,Non,9.0
255,12,13,Badvillain,5,BPM,Fille,Groupe,Badvillain,2024,Non,Non,8.0
256,12,14,BTS,3,BigHit Entertainment,Gars,Groupe,For youth,2022,Non,Non,7.0
257,12,15,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Hwaa,2021,Non,Non,8.0
258,12,16,Seventeen,3,Pledis Entertainment,Gars,Groupe,Change up,2017,SVT Leaders,Non,10.0
259,12,17,NCT Dream,4,SM Entertainment,Gars,Groupe,Hot sauce,2021,Non,Non,9.0
260,12,18,BlackPink,3,YG Entertainment,Fille,Groupe,The Girls,2023,Non,Non,6.0
261,12,19,The boyz,4,ONE HUNDRED ,Gars,Groupe,Reveal,2020,Non,Non,10.0
262,12,20,Stray Kids,4,JYP Entertainment,Gars,Groupe,Insomnia,2020,Non,Non,10.0
263,12,21,Rosé,3,YG Entertainment,Fille,Solo,On the Ground,2021,Non,Non,4.0
264,12,22,P1Harmony,4,FNC Entertainment,Gars,Groupe,Jump,2023,Non,Non,9.0
265,13,1,Seventeen,3,Pledis Entertainment,Gars,Groupe,_World,2022,Non,Non,10.0
266,13,2,Super junior,2,SM Entertainment,Gars,Groupe,Black suit,2017,Non,Non,10.0
267,13,3,StayC,4,High Up Entertainment,Fille,Groupe,Asap,2021,Non,Non,8.0
268,13,4,Pentagon,3,CUBE Entertainment,Gars,Groupe,Dr.Bebe,2020,Non,Non,9.0
269,13,5,Twice,3,JYP Entertainment,Fille,Groupe,Talk that talk,2022,Non,Non,10.0
270,13,6,Day6,3,JYP Entertainment,Gars,Groupe,Shoot me,2018,Non,Non,10.0
271,13,7,Ateez,4,KQ Entertainment,Gars,Groupe,Wave,2019,Non,Non,10.0
272,13,8,Jeon somi,3,The Black Label,Fille,Solo,Fast forward,2023,Non,Non,9.0
273,13,9,SF9,3,FNC Entertainment,Gars,Groupe,Good guy,2020,Non,Non,10.0
274,13,10,Wonder Girls,2,JYP Entertainment,Fille,Groupe,Why so lonely,2016,Non,Non,9.0
275,13,11,SHINee,2,SM Entertainment,Gars,Groupe,View,2015,Non,Non,10.0
276,13,12,Stray Kids,4,JYP Entertainment,Gars,Groupe,Freeze,2021,Non,Non,8.5
277,13,13,Ive,4,Starship Entertainment,Fille,Groupe,Accendio,2024,Non,Non,6.0
278,13,14,BTS,3,BigHit Entertainment,Gars,Groupe,Yet to come,2022,Non,Non,4.0
